epoch,loss,acc
0,-860.0298,-2786.253
1,-732.1693,-1776.1285
2,-992.34314,-1403.4363
3,-1156.2319,-1191.7682
4,-1264.1852,-1062.1858
5,-1349.0529,-974.70276
6,-1375.9926,-909.38794
7,-1358.3799,-854.1113
8,-1298.8025,-802.1176
9,-1255.5283,-762.17444
10,-1232.9366,-725.461
11,-1244.9346,-679.7502
12,-1281.2114,-641.1426
13,-1347.7344,-608.1427
14,-1414.0872,-578.712
15,-1487.3517,-552.90674
16,-1533.3289,-529.57764
17,-1552.6531,-508.66724
18,-1564.5925,-489.85452
19,-1572.0402,-472.56985
20,-1572.5906,-456.6717
21,-1572.9579,-441.9895
22,-1578.7094,-428.73383
23,-1581.8782,-417.10797
24,-1582.7015,-406.25012
25,-1577.9845,-395.85886
26,-1574.916,-386.31866
27,-1573.8646,-377.69376
28,-1572.0778,-369.6035
29,-1572.5425,-361.9681
30,-1570.7981,-354.74048
31,-1568.7518,-348.01215
32,-1564.7848,-341.4329
33,-1564.8673,-335.3589
34,-1562.933,-329.5953
35,-1558.6777,-323.98398
36,-1554.4155,-318.77155
37,-1553.5701,-313.88525
38,-1548.2521,-309.4361
39,-1549.0625,-305.1245
40,-1546.4314,-300.94125
41,-1544.6428,-296.79373
42,-1545.3271,-293.00165
43,-1549.834,-289.3025
44,-1550.4618,-285.53482
45,-1551.3838,-281.7933
46,-1545.3224,-278.10233
47,-1538.5101,-274.4556
48,-1535.862,-270.90677
49,-1536.442,-267.29236
50,-1538.7213,-263.7215
51,-1541.6815,-260.3094
52,-1546.467,-257.06952
53,-1547.5409,-253.89098
54,-1548.24,-250.79176
55,-1547.3777,-247.72023
56,-1545.5671,-244.76216
57,-1543.3164,-241.71347
58,-1543.1661,-238.90167
59,-1542.1351,-236.18689
60,-1539.7108,-233.47533
61,-1535.6069,-230.7521
62,-1530.5712,-228.12506
63,-1525.6068,-225.52626
64,-1521.8977,-222.95517
65,-1517.9164,-220.42162
66,-1513.7992,-218.0868
67,-1507.5331,-215.69347
68,-1502.0557,-213.39882
69,-1496.6356,-211.23022
70,-1488.4484,-209.06082
71,-1480.4617,-206.98114
72,-1471.3918,-204.9454
73,-1461.5836,-202.96144
74,-1450.928,-201.03087
75,-1439.9572,-199.0777
76,-1428.7815,-197.16211
77,-1418.6791,-195.35864
78,-1408.933,-193.53796
79,-1399.3262,-191.80872
80,-1391.285,-190.09824
81,-1382.2822,-188.45555
82,-1372.8774,-186.80551
83,-1363.4094,-185.20914
84,-1353.8318,-183.625
85,-1344.3998,-182.04803
86,-1335.7726,-180.52544
87,-1327.5612,-179.0437
88,-1318.9896,-177.60121
89,-1309.4645,-176.18123
90,-1299.8734,-174.79263
91,-1289.8231,-173.4371
92,-1280.302,-172.10764
93,-1270.4851,-170.80034
94,-1261.2968,-169.48444
95,-1252.3771,-168.16206
96,-1244.2462,-166.91835
97,-1236.8077,-165.72015
98,-1228.9082,-164.50446
99,-1220.7418,-163.31914
100,-1211.4441,-162.11758
101,-1202.9484,-160.93396
102,-1194.6727,-159.817
103,-1186.4542,-158.71875
104,-1178.9735,-157.66232
105,-1171.1931,-156.60806
106,-1163.3541,-155.58382
107,-1156.0786,-154.56155
108,-1148.5912,-153.54185
109,-1140.4006,-152.53998
110,-1132.5853,-151.56117
111,-1125.6504,-150.5809
112,-1118.8296,-149.64767
113,-1111.8292,-148.71928
114,-1105.4781,-147.82603
115,-1098.5283,-146.93112
116,-1092.5536,-146.054
117,-1086.4791,-145.21886
118,-1080.1569,-144.3838
119,-1073.4281,-143.54544
120,-1067.3656,-142.69135
121,-1060.6829,-141.85207
122,-1054.1957,-141.02309
123,-1048.3615,-140.21674
124,-1042.6161,-139.44107
125,-1037.0355,-138.67679
126,-1032.2471,-137.91989
127,-1028.0125,-137.1551
128,-1022.90533,-136.39496
129,-1017.85266,-135.66411
130,-1012.90576,-134.94264
